File,Line,Text,Suggested Key
"components\admin\AssignmentRulesManager.tsx",1192,"Cancel","admin.assignmentrulesmanager.cancel"
"components\admin\AssignmentRulesManager.tsx",1196,"Save Configuration","admin.assignmentrulesmanager.save_configuration"
"components\admin\AssignmentRulesManager.tsx",857,"Enter rule name","admin.assignmentrulesmanager.enter_rule_name"
"components\admin\AssignmentRulesManager.tsx",877,"Describe what this rule does","admin.assignmentrulesmanager.describe_what_this_rule_does"
"components\admin\AssignmentRulesManager.tsx",922,"server, network, urgent","admin.assignmentrulesmanager.server_network_urgent"
"components\admin\AssignmentRulesManager.tsx",940,"Select agent (optional)","admin.assignmentrulesmanager.select_agent_optional"
"components\admin\AssignmentRulesManager.tsx",492,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",501,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",530,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",730,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",981,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",1192,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",1196,"Button","admin.assignmentrulesmanager.button"
"components\admin\AssignmentRulesManager.tsx",173,"Error loading rules:","admin.assignmentrulesmanager.error_loading_rules"
"components\admin\AssignmentRulesManager.tsx",205,"Error loading config:","admin.assignmentrulesmanager.error_loading_config"
"components\admin\AssignmentRulesManager.tsx",232,"Error loading agents:","admin.assignmentrulesmanager.error_loading_agents"
"components\admin\AssignmentRulesManager.tsx",252,"Error loading categories:","admin.assignmentrulesmanager.error_loading_categories"
"components\admin\AssignmentRulesManager.tsx",312,"Error saving rule:","admin.assignmentrulesmanager.error_saving_rule"
"components\admin\AssignmentRulesManager.tsx",338,"Error deleting rule:","admin.assignmentrulesmanager.error_deleting_rule"
"components\admin\AssignmentRulesManager.tsx",371,"Error toggling rule:","admin.assignmentrulesmanager.error_toggling_rule"
"components\admin\AssignmentRulesManager.tsx",407,"Error saving configuration:","admin.assignmentrulesmanager.error_saving_configuration"
"components\admin\AssignmentRulesManager.tsx",456,"Error updating rule priorities:","admin.assignmentrulesmanager.error_updating_rule_priorities"
"components\admin\AssignmentRulesManager.tsx",173,"Error loading rules:","admin.assignmentrulesmanager.error_loading_rules"
"components\admin\AssignmentRulesManager.tsx",205,"Error loading config:","admin.assignmentrulesmanager.error_loading_config"
"components\admin\AssignmentRulesManager.tsx",232,"Error loading agents:","admin.assignmentrulesmanager.error_loading_agents"
"components\admin\AssignmentRulesManager.tsx",252,"Error loading categories:","admin.assignmentrulesmanager.error_loading_categories"
"components\admin\AssignmentRulesManager.tsx",312,"Error saving rule:","admin.assignmentrulesmanager.error_saving_rule"
"components\admin\AssignmentRulesManager.tsx",338,"Error deleting rule:","admin.assignmentrulesmanager.error_deleting_rule"
"components\admin\AssignmentRulesManager.tsx",371,"Error toggling rule:","admin.assignmentrulesmanager.error_toggling_rule"
"components\admin\AssignmentRulesManager.tsx",407,"Error saving configuration:","admin.assignmentrulesmanager.error_saving_configuration"
"components\admin\AssignmentRulesManager.tsx",456,"Error updating rule priorities:","admin.assignmentrulesmanager.error_updating_rule_priorities"
"components\admin\CategoryExpertiseManager.tsx",353,"Category Expertise Manager","admin.categoryexpertisemanager.category_expertise_manager"
"components\admin\CategoryExpertiseManager.tsx",354,"Configure agent expertise levels for categories and subcategories","admin.categoryexpertisemanager.configure_agent_expertise_leve"
"components\admin\CategoryExpertiseManager.tsx",364,"Add Expertise","admin.categoryexpertisemanager.add_expertise"
"components\admin\CategoryExpertiseManager.tsx",371,"Category Expertise","admin.categoryexpertisemanager.category_expertise"
"components\admin\CategoryExpertiseManager.tsx",372,"Subcategory Expertise","admin.categoryexpertisemanager.subcategory_expertise"
"components\admin\CategoryExpertiseManager.tsx",373,"Overview","admin.categoryexpertisemanager.overview"
"components\admin\CategoryExpertiseManager.tsx",379,"Agent Category Expertise","admin.categoryexpertisemanager.agent_category_expertise"
"components\admin\CategoryExpertiseManager.tsx",390,"Agent","admin.categoryexpertisemanager.agent"
"components\admin\CategoryExpertiseManager.tsx",391,"Category","admin.categoryexpertisemanager.category"
"components\admin\CategoryExpertiseManager.tsx",392,"Expertise Level","admin.categoryexpertisemanager.expertise_level"
"components\admin\CategoryExpertiseManager.tsx",393,"Primary","admin.categoryexpertisemanager.primary"
"components\admin\CategoryExpertiseManager.tsx",394,"Actions","admin.categoryexpertisemanager.actions"
"components\admin\CategoryExpertiseManager.tsx",415,"Primary","admin.categoryexpertisemanager.primary"
"components\admin\CategoryExpertiseManager.tsx",453,"Agent Subcategory Expertise","admin.categoryexpertisemanager.agent_subcategory_expertise"
"components\admin\CategoryExpertiseManager.tsx",464,"Agent","admin.categoryexpertisemanager.agent"
"components\admin\CategoryExpertiseManager.tsx",465,"Category","admin.categoryexpertisemanager.category"
"components\admin\CategoryExpertiseManager.tsx",466,"Subcategory","admin.categoryexpertisemanager.subcategory"
"components\admin\CategoryExpertiseManager.tsx",467,"Expertise Level","admin.categoryexpertisemanager.expertise_level"
"components\admin\CategoryExpertiseManager.tsx",468,"Primary","admin.categoryexpertisemanager.primary"
"components\admin\CategoryExpertiseManager.tsx",469,"Actions","admin.categoryexpertisemanager.actions"
"components\admin\CategoryExpertiseManager.tsx",491,"Primary","admin.categoryexpertisemanager.primary"
"components\admin\CategoryExpertiseManager.tsx",533,"Total Agents","admin.categoryexpertisemanager.total_agents"
"components\admin\CategoryExpertiseManager.tsx",538,"Active agents and admins","admin.categoryexpertisemanager.active_agents_and_admins"
"components\admin\CategoryExpertiseManager.tsx",546,"Category Mappings","admin.categoryexpertisemanager.category_mappings"
"components\admin\CategoryExpertiseManager.tsx",551,"Agent-category assignments","admin.categoryexpertisemanager.agentcategory_assignments"
"components\admin\CategoryExpertiseManager.tsx",559,"Subcategory Mappings","admin.categoryexpertisemanager.subcategory_mappings"
"components\admin\CategoryExpertiseManager.tsx",564,"Agent-subcategory assignments","admin.categoryexpertisemanager.agentsubcategory_assignments"
"components\admin\CategoryExpertiseManager.tsx",665,"Agent","admin.categoryexpertisemanager.agent"
"components\admin\CategoryExpertiseManager.tsx",686,"Expertise Type","admin.categoryexpertisemanager.expertise_type"
"components\admin\CategoryExpertiseManager.tsx",689,"Category","admin.categoryexpertisemanager.category"
"components\admin\CategoryExpertiseManager.tsx",690,"Subcategory","admin.categoryexpertisemanager.subcategory"
"components\admin\CategoryExpertiseManager.tsx",695,"Category","admin.categoryexpertisemanager.category"
"components\admin\CategoryExpertiseManager.tsx",736,"Subcategory","admin.categoryexpertisemanager.subcategory"
"components\admin\CategoryExpertiseManager.tsx",759,"Expertise Level","admin.categoryexpertisemanager.expertise_level"
"components\admin\CategoryExpertiseManager.tsx",768,"Basic","admin.categoryexpertisemanager.basic"
"components\admin\CategoryExpertiseManager.tsx",769,"Intermediate","admin.categoryexpertisemanager.intermediate"
"components\admin\CategoryExpertiseManager.tsx",770,"Expert","admin.categoryexpertisemanager.expert"
"components\admin\CategoryExpertiseManager.tsx",781,"Primary specialist for this category","admin.categoryexpertisemanager.primary_specialist_for_this_ca"
"components\admin\CategoryExpertiseManager.tsx",785,"Cancel","admin.categoryexpertisemanager.cancel"
"components\admin\CategoryExpertiseManager.tsx",789,"Save Expertise","admin.categoryexpertisemanager.save_expertise"
"components\admin\CategoryExpertiseManager.tsx",672,"Select an agent","admin.categoryexpertisemanager.select_an_agent"
"components\admin\CategoryExpertiseManager.tsx",702,"Select a category","admin.categoryexpertisemanager.select_a_category"
"components\admin\CategoryExpertiseManager.tsx",723,"Select a category first","admin.categoryexpertisemanager.select_a_category_first"
"components\admin\CategoryExpertiseManager.tsx",364,"Button","admin.categoryexpertisemanager.button"
"components\admin\CategoryExpertiseManager.tsx",785,"Button","admin.categoryexpertisemanager.button"
"components\admin\CategoryExpertiseManager.tsx",789,"Button","admin.categoryexpertisemanager.button"
"components\admin\CategoryExpertiseManager.tsx",111,"Error loading data:","admin.categoryexpertisemanager.error_loading_data"
"components\admin\CategoryExpertiseManager.tsx",198,"Error saving expertise:","admin.categoryexpertisemanager.error_saving_expertise"
"components\admin\CategoryExpertiseManager.tsx",249,"Error saving expertise:","admin.categoryexpertisemanager.error_saving_expertise"
"components\admin\CategoryExpertiseManager.tsx",286,"Error saving subcategory expertise:","admin.categoryexpertisemanager.error_saving_subcategory_exper"
"components\admin\CategoryExpertiseManager.tsx",310,"Error deleting expertise:","admin.categoryexpertisemanager.error_deleting_expertise"
"components\admin\CategoryExpertiseManager.tsx",111,"Error loading data:","admin.categoryexpertisemanager.error_loading_data"
"components\admin\CategoryExpertiseManager.tsx",198,"Error saving expertise:","admin.categoryexpertisemanager.error_saving_expertise"
"components\admin\CategoryExpertiseManager.tsx",249,"Error saving expertise:","admin.categoryexpertisemanager.error_saving_expertise"
"components\admin\CategoryExpertiseManager.tsx",286,"Error saving subcategory expertise:","admin.categoryexpertisemanager.error_saving_subcategory_exper"
"components\admin\CategoryExpertiseManager.tsx",310,"Error deleting expertise:","admin.categoryexpertisemanager.error_deleting_expertise"
"components\admin\CategoryManagement.test.tsx",250,"Failed to load categories","admin.categorymanagement.test.failed_to_load_categories"
"components\admin\CategoryManagement.tsx",230,"Promise","admin.categorymanagement.promise"
"components\admin\CategoryManagement.tsx",471,"Category Management","admin.categorymanagement.category_management"
"components\admin\CategoryManagement.tsx",483,"Category Management","admin.categorymanagement.category_management"
"components\admin\CategoryManagement.tsx",494,"Unsaved changes","admin.categorymanagement.unsaved_changes"
"components\admin\CategoryManagement.tsx",499,"Manage ticket categories and subcategories with advanced features","admin.categorymanagement.manage_ticket_categories_and_s"
"components\admin\CategoryManagement.tsx",517,"Add Category","admin.categorymanagement.add_category"
"components\admin\CategoryManagement.tsx",617,"No subcategories yet","admin.categorymanagement.no_subcategories_yet"
"components\admin\CategoryManagement.tsx",625,"Add Subcategory","admin.categorymanagement.add_subcategory"
"components\admin\CategoryManagement.tsx",639,"Subcategories","admin.categorymanagement.subcategories"
"components\admin\CategoryManagement.tsx",647,"Custom Fields","admin.categorymanagement.custom_fields"
"components\admin\CategoryManagement.tsx",670,"No categories yet","admin.categorymanagement.no_categories_yet"
"components\admin\CategoryManagement.tsx",681,"Create First Category","admin.categorymanagement.create_first_category"
"components\admin\CategoryManagement.tsx",707,"Form Builder","admin.categorymanagement.form_builder"
"components\admin\CategoryManagement.tsx",708,"Configure custom form fields for this subcategory","admin.categorymanagement.configure_custom_form_fields_f"
"components\admin\CategoryManagement.tsx",781,"Type","admin.categorymanagement.type"
"components\admin\CategoryManagement.tsx",790,"Text","admin.categorymanagement.text"
"components\admin\CategoryManagement.tsx",791,"Textarea","admin.categorymanagement.textarea"
"components\admin\CategoryManagement.tsx",792,"Select","admin.categorymanagement.select"
"components\admin\CategoryManagement.tsx",793,"Checkbox","admin.categorymanagement.checkbox"
"components\admin\CategoryManagement.tsx",794,"Date","admin.categorymanagement.date"
"components\admin\CategoryManagement.tsx",795,"Number","admin.categorymanagement.number"
"components\admin\CategoryManagement.tsx",802,"Label","admin.categorymanagement.label"
"components\admin\CategoryManagement.tsx",818,"Required","admin.categorymanagement.required"
"components\admin\CategoryManagement.tsx",825,"Enabled","admin.categorymanagement.enabled"
"components\admin\CategoryManagement.tsx",859,"Placeholder","admin.categorymanagement.placeholder"
"components\admin\CategoryManagement.tsx",882,"Add Field","admin.categorymanagement.add_field"
"components\admin\CategoryManagement.tsx",891,"Cancel","admin.categorymanagement.cancel"
"components\admin\CategoryManagement.tsx",918,"Confirm Field Deletion","admin.categorymanagement.confirm_field_deletion"
"components\admin\CategoryManagement.tsx",937,"Cancel","admin.categorymanagement.cancel"
"components\admin\CategoryManagement.tsx",947,"Delete Field","admin.categorymanagement.delete_field"
"components\admin\CategoryManagement.tsx",487,"Online","admin.categorymanagement.online"
"components\admin\CategoryManagement.tsx",489,"Offline","admin.categorymanagement.offline"
"components\admin\CategoryManagement.tsx",807,"Enter field label","admin.categorymanagement.enter_field_label"
"components\admin\CategoryManagement.tsx",851,"Option 1, Option 2, Option 3","admin.categorymanagement.option_1_option_2_option_3"
"components\admin\CategoryManagement.tsx",864,"Enter placeholder text","admin.categorymanagement.enter_placeholder_text"
"components\admin\CategoryManagement.tsx",494,"span","admin.categorymanagement.span"
"components\admin\CategoryManagement.tsx",517,"Button","admin.categorymanagement.button"
"components\admin\CategoryManagement.tsx",625,"Button","admin.categorymanagement.button"
"components\admin\CategoryManagement.tsx",681,"Button","admin.categorymanagement.button"
"components\admin\CategoryManagement.tsx",717,"span","admin.categorymanagement.span"
"components\admin\CategoryManagement.tsx",768,"span","admin.categorymanagement.span"
"components\admin\CategoryManagement.tsx",882,"Button","admin.categorymanagement.button"
"components\admin\CategoryManagement.tsx",891,"Button","admin.categorymanagement.button"
"components\admin\CategoryManagement.tsx",259,"Operation failed:","admin.categorymanagement.operation_failed"
"components\admin\CategoryManagement.tsx",259,"Operation failed:","admin.categorymanagement.operation_failed"
"components\admin\CategoryUpdater.tsx",152,"Users & Passwords","admin.categoryupdater.users_passwords"
"components\admin\CategoryUpdater.tsx",154,"Infrastructure & Hardware","admin.categoryupdater.infrastructure_hardware"
"components\admin\CategoryUpdater.tsx",155,"Other","admin.categoryupdater.other"
"components\admin\CategoryUpdater.tsx",156,"Website & Intranet","admin.categoryupdater.website_intranet"
"components\admin\CategoryUpdater.tsx",157,"Office 365 & SharePoint","admin.categoryupdater.office_365_sharepoint"
"components\admin\CategoryUpdater.tsx",138,"💥 Erro durante a atualização:","admin.categoryupdater._erro_durante_a_atualizao"
"components\admin\CategoryUpdater.tsx",138,"💥 Erro durante a atualização:","admin.categoryupdater._erro_durante_a_atualizao"
"components\admin\knowledge\ArticleEditor.tsx",35,"Promise","knowledge.articleeditor.promise"
"components\admin\knowledge\ArticleEditor.tsx",197,"Draft","knowledge.articleeditor.draft"
"components\admin\knowledge\ArticleEditor.tsx",198,"In Review","knowledge.articleeditor.in_review"
"components\admin\knowledge\ArticleEditor.tsx",199,"Published","knowledge.articleeditor.published"
"components\admin\knowledge\ArticleEditor.tsx",200,"Archived","knowledge.articleeditor.archived"
"components\admin\knowledge\ArticleEditor.tsx",218,"Cancel","knowledge.articleeditor.cancel"
"components\admin\knowledge\ArticleEditor.tsx",262,"Excerpt","knowledge.articleeditor.excerpt"
"components\admin\knowledge\ArticleEditor.tsx",421,"Tags","knowledge.articleeditor.tags"
"components\admin\knowledge\ArticleEditor.tsx",453,"Featured Article","knowledge.articleeditor.featured_article"
"components\admin\knowledge\ArticleEditor.tsx",457,"Meta Description","knowledge.articleeditor.meta_description"
"components\admin\knowledge\ArticleEditor.tsx",194,"Select status","knowledge.articleeditor.select_status"
"components\admin\knowledge\ArticleEditor.tsx",253,"Enter article title...","knowledge.articleeditor.enter_article_title"
"components\admin\knowledge\ArticleEditor.tsx",267,"Brief description of the article...","knowledge.articleeditor.brief_description_of_the_artic"
"components\admin\knowledge\ArticleEditor.tsx",282,"Heading 1","knowledge.articleeditor.heading_1"
"components\admin\knowledge\ArticleEditor.tsx",291,"Heading 2","knowledge.articleeditor.heading_2"
"components\admin\knowledge\ArticleEditor.tsx",300,"Heading 3","knowledge.articleeditor.heading_3"
"components\admin\knowledge\ArticleEditor.tsx",310,"Bold","knowledge.articleeditor.bold"
"components\admin\knowledge\ArticleEditor.tsx",319,"Italic","knowledge.articleeditor.italic"
"components\admin\knowledge\ArticleEditor.tsx",328,"Underline","knowledge.articleeditor.underline"
"components\admin\knowledge\ArticleEditor.tsx",338,"Bullet List","knowledge.articleeditor.bullet_list"
"components\admin\knowledge\ArticleEditor.tsx",347,"Numbered List","knowledge.articleeditor.numbered_list"
"components\admin\knowledge\ArticleEditor.tsx",356,"Link","knowledge.articleeditor.link"
"components\admin\knowledge\ArticleEditor.tsx",370,"Write your article content here...","knowledge.articleeditor.write_your_article_content_her"
"components\admin\knowledge\ArticleEditor.tsx",405,"Select a category","knowledge.articleeditor.select_a_category"
"components\admin\knowledge\ArticleEditor.tsx",441,"Add tags (press Enter)","knowledge.articleeditor.add_tags_press_enter"
"components\admin\knowledge\ArticleEditor.tsx",462,"SEO meta description...","knowledge.articleeditor.seo_meta_description"
"components\admin\knowledge\ArticleEditor.tsx",218,"Button","knowledge.articleeditor.button"
"components\admin\knowledge\ArticleEditor.tsx",110,"Error saving article:","knowledge.articleeditor.error_saving_article"
"components\admin\knowledge\ArticleEditor.tsx",110,"Error saving article:","knowledge.articleeditor.error_saving_article"
"components\admin\knowledge\ArticleList.tsx",92,"No articles found","knowledge.articlelist.no_articles_found"
"components\admin\knowledge\ArticleList.tsx",117,"Featured","knowledge.articlelist.featured"
"components\admin\knowledge\ArticleList.tsx",195,"Edit","knowledge.articlelist.edit"
"components\admin\knowledge\ArticleList.tsx",208,"View Live","knowledge.articlelist.view_live"
"components\admin\knowledge\ArticleList.tsx",215,"Publish","knowledge.articlelist.publish"
"components\admin\knowledge\ArticleList.tsx",222,"Archive","knowledge.articlelist.archive"
"components\admin\knowledge\ArticleList.tsx",233,"Delete","knowledge.articlelist.delete"
"components\admin\knowledge\ArticleList.tsx",195,"Button","knowledge.articlelist.button"
"components\admin\knowledge\CategoryManager.tsx",251,"Knowledge Categories","knowledge.categorymanager.knowledge_categories"
"components\admin\knowledge\CategoryManager.tsx",258,"Add Category","knowledge.categorymanager.add_category"
"components\admin\knowledge\CategoryManager.tsx",281,"Slug","knowledge.categorymanager.slug"
"components\admin\knowledge\CategoryManager.tsx",294,"Description","knowledge.categorymanager.description"
"components\admin\knowledge\CategoryManager.tsx",305,"Icon","knowledge.categorymanager.icon"
"components\admin\knowledge\CategoryManager.tsx",324,"Color","knowledge.categorymanager.color"
"components\admin\knowledge\CategoryManager.tsx",342,"Active","knowledge.categorymanager.active"
"components\admin\knowledge\CategoryManager.tsx",351,"Cancel","knowledge.categorymanager.cancel"
"components\admin\knowledge\CategoryManager.tsx",368,"No categories yet","knowledge.categorymanager.no_categories_yet"
"components\admin\knowledge\CategoryManager.tsx",392,"Inactive","knowledge.categorymanager.inactive"
"components\admin\knowledge\CategoryManager.tsx",276,"Category name...","knowledge.categorymanager.category_name"
"components\admin\knowledge\CategoryManager.tsx",286,"category-slug","knowledge.categorymanager.categoryslug"
"components\admin\knowledge\CategoryManager.tsx",299,"Category description...","knowledge.categorymanager.category_description"
"components\admin\knowledge\CategoryManager.tsx",413,"Move up","knowledge.categorymanager.move_up"
"components\admin\knowledge\CategoryManager.tsx",422,"Move down","knowledge.categorymanager.move_down"
"components\admin\knowledge\CategoryManager.tsx",430,"Edit","knowledge.categorymanager.edit"
"components\admin\knowledge\CategoryManager.tsx",439,"Delete","knowledge.categorymanager.delete"
"components\admin\knowledge\CategoryManager.tsx",258,"Button","knowledge.categorymanager.button"
"components\admin\knowledge\CategoryManager.tsx",351,"Button","knowledge.categorymanager.button"
"components\admin\knowledge\CategoryManager.tsx",144,"Error validating slug:","knowledge.categorymanager.error_validating_slug"
"components\admin\knowledge\CategoryManager.tsx",152,"Category name is required","knowledge.categorymanager.category_name_is_required"
"components\admin\knowledge\CategoryManager.tsx",179,"Error saving category:","knowledge.categorymanager.error_saving_category"
"components\admin\knowledge\CategoryManager.tsx",183,"A category with this name already exists. Please choose a different name or modify the slug.","knowledge.categorymanager.a_category_with_this_name_alre"
"components\admin\knowledge\CategoryManager.tsx",185,"Permission denied. Please ensure you have admin privileges.","knowledge.categorymanager.permission_denied_please_ensur"
"components\admin\knowledge\CategoryManager.tsx",187,"Error saving category. Please try again.","knowledge.categorymanager.error_saving_category_please_t"
"components\admin\knowledge\CategoryManager.tsx",200,"Error deleting category:","knowledge.categorymanager.error_deleting_category"
"components\admin\knowledge\CategoryManager.tsx",201,"Error deleting category. Please try again.","knowledge.categorymanager.error_deleting_category_please"
"components\admin\knowledge\CategoryManager.tsx",221,"Error updating sort order:","knowledge.categorymanager.error_updating_sort_order"
"components\admin\knowledge\CategoryManager.tsx",144,"Error validating slug:","knowledge.categorymanager.error_validating_slug"
"components\admin\knowledge\CategoryManager.tsx",179,"Error saving category:","knowledge.categorymanager.error_saving_category"
"components\admin\knowledge\CategoryManager.tsx",200,"Error deleting category:","knowledge.categorymanager.error_deleting_category"
"components\admin\knowledge\CategoryManager.tsx",221,"Error updating sort order:","knowledge.categorymanager.error_updating_sort_order"
"components\admin\knowledge\KnowledgeAnalytics.tsx",95,"Total Views","knowledge.knowledgeanalytics.total_views"
"components\admin\knowledge\KnowledgeAnalytics.tsx",97,"Across all articles","knowledge.knowledgeanalytics.across_all_articles"
"components\admin\knowledge\KnowledgeAnalytics.tsx",108,"Helpfulness","knowledge.knowledgeanalytics.helpfulness"
"components\admin\knowledge\KnowledgeAnalytics.tsx",121,"Avg. Reading Time","knowledge.knowledgeanalytics.avg_reading_time"
"components\admin\knowledge\KnowledgeAnalytics.tsx",125,"Per article","knowledge.knowledgeanalytics.per_article"
"components\admin\knowledge\KnowledgeAnalytics.tsx",136,"Active Categories","knowledge.knowledgeanalytics.active_categories"
"components\admin\knowledge\KnowledgeAnalytics.tsx",151,"Article Status Distribution","knowledge.knowledgeanalytics.article_status_distribution"
"components\admin\knowledge\KnowledgeAnalytics.tsx",190,"Category Performance","knowledge.knowledgeanalytics.category_performance"
